seed = 2492 sort algorithm = Bubble Sort

Unsorted:
       605        315        718        939        978        469         87        556
       772         66        243        902        537        479        709        252
       150        692         40        288        580        411        457        790
        43        230        198          6        991        905        473        948
       220        191        888        198        661        327        107        785
       745        350         40        282        830        749        886        980
       793        927        621        725        338         78        867        733
       309         66         91        652        971        565        600        191
       756        840        741        769        167        848        907        912
       199        947        194        381         48         81        713        841
         8        686        566        698        765        434        784        426
       852        875         78        823        440         30        366        197
       223        107        966        390        308        225        655        859
       172        849        240        572        282        953        413        642
       640        332        693        757        118        829        535        970
       704        965        145        145        995        511        694        218
       970         12        961        278        238        616        137        762
       817        729        335        452         35        100        446         27
       784        139        136        254        320        671        576         25
       636        721        522        983        584        568        554        907
       932        515        185        170        483        675        285        652
       756        620        104        791         72        551        170        857
        42        306        111        363        977         40        740        613
       761        614        597        698        182        503        605        114
        18        142        637        501        169        922        153        926
       894        610         69        318        513        240        175        907
       546        639        622        876         31        362        841        792
       976        790        842        510        293        447        977        311
       942        614        164        111        888        670        389        134
       632        459        452        145         51        980         52        949
       619        675        825        650        389        667        794        718
       809        989        228        103        436        205        766        730
       171        931        842         59        953        583        545        585
        42        998         82        445        978        486        395        949
       161        572        951        903        591        745        621        401
       734        201        504        523        759        270        253        930
       553        447        342        858         31        887        795        425
       885        877        223        863        364        618        164        877
       190        115        780        782        213        753        535        947
       955         39        822        714        661        428        996        567
       227        338        425        258        226        221         36        463
        98        259        679        814        229        843        692        419
       959        824        553        172        578         88        471        885
       479        646        599        493         74        595         60        301
       286        485        912        864        706        300        327        157
       559        358        323        140        554         15        559        513
       192        465         37        122        905        860          7        385
       858        958        878        284        553        290        938        191
       775        850         55        834        502        735        343        413
       445        666        553        999         34        464        864        226
       929        253        348        187        114        707        924        324
       665        154        609        570        444        547        762        219
       749        817        405        251        904        748         16        350
       415        569        349        449         33        214         27        315
       467        727        502        933        434        426        258         99
       580        219        669         24        118        431        595        867
       601          1        470        505        749        486        207        516
       407        909        317        440        123        344        755        942
        71        609        228        857         35        838        956        967
        57        626        343        527        409        939        394         10
       940        216        868         41         54        427        910        461
       336        227        901        811        924          9        754        347
       970        334        205        358        172        161        325        581
       139        669        108        549        608        854        911        900
        70        779        293        476        207        203        937        543
       783        190        355         59        551        461        406        522
       795        963        880        319        477        205        252        616
       226        712        517        186        566        429         86        988
       208        732        464        767        287        753 
Sorting:

Sorted:
         1          6          7          8          9         10         12         15
        16         18         24         25         27         27         30         31
        31         33         34         35         35         36         37         39
        40         40         40         41         42         42         43         48
        51         52         54         55         57         59         59         60
        66         66         69         70         71         72         74         78
        78         81         82         86         87         88         91         98
        99        100        103        104        107        107        108        111
       867        878        880        885        904        905        910        911
       912        924        924        929        933        937        938        939
       940        942        956        958        959        963        967        970
       988        999   51893134   55375545  206558119  222698990  375910509  542060153
 781732981 1122899651 1124473524 1630711583 1634695373 1683221428        444        445
       445        446        447        449        452        457        461        463
       464        465        467        469        470        471        473        479
       479        483        485        486        486        493        502        502
       114        115        118        122        134        136        137        139
       139        140        142        145        145        145        150        153
       154        157        161        161        164        164        167        169
       170        170        171        172        172        172        175        182
       185        186        187        190        190        191        191        191
       192        194        194        197        198        198        199        201
       203        205        205        205        207        207        208        213
       214        216        218        219        219        220        221        223
       114        115        118        122        134        136        137        139
       139        140        142        145        145        145        150        153
       154        157        161        161        164        164        167        169
       170        170        171        172        172        172        175        182
       185        186        187        190        190        191        191        191
       192        194        194        197        198        198        199        201
       203        205        205        205        207        207        208        213
       214        216        218        219        219        220        221        223
       114        115        118        122        134        136        137        139
       139        140        142        145        145        145        150        153
       154        157        161        161        164        164        167        169
       170        170        171        172        172        172        175        182
       185        186        187        190        190        191        191        191
       192        194        194        197        198        198        199        201
       203        205        205        205        207        207        208        213
       214        216        218        219        219        220        221        223
       227        228        258        259        270        284        286        290
       293        300        301        309        315        315        317        319
       320        323        324        325        327        327        332        334
       335        336        338        338        343        343        344        347
       348        349        350        350        355        358        358        363
       364        366        381        385        390        394        395        401
       405        406        407        409        411        413        413        415
       419        425        425        426        426        427        428        429
       114        115        118        122        134        136        137        139
       139        140        142        145        145        145        150        153
       154        157        161        161        164        164        167        169
       170        170        171        172        172        172        175        182
       185        186        187        190        190        191        191        191
       192        194        194        197        198        198        199        201
       203        205        205        205        207        207        208        213
       214        216        218        219        219        220        221        223
       503        547        553        566        566        567        568        569
       570        572        572        576        578        580        580        581
       583        584        585        591        595        595        597        599
       600        601        605        605        608        609        609        613
       616        646        665        666        669        679        692        706
       707        712        727        732        735        748        749        753
       762        767        775        779        783        795        814        817
       824        834        843        850        858        860        864        864
       867        878        880        885        904        905        910        911
       912        924        924        929        933        937        938        939
       940        942        956        958        959        963        967        970
       988        999   51893134   55375545  206558119  222698990  375910509  542060153
 781732981 1122899651 1124473524 1630711583 1634695373 1683221428 
