seed = 2364 sort algorithm = Quick Sort

Unsorted:
       168        123        638        322        541        193        592        695
       834        321        863        200        929          2        409        328
       245        871        717        131        275        952        424         18
       282        356         85        409        595         49        634        115
       524        624        437         65        817        381        112        651
       702        328        852        631        330        613        960        927
       484        677        410        759        982        835        129        264
       191        214         25        138        615         11        253        491
       635         42        556        805        423        669        808        477
       997         12        109        679        625        421        606        461
       450         17        220        784        852        701        400        395
       916        425        886        883        436        491        375        424
       534        283        229        309        952         37        787        301
        50        248        332         27         21        291        489        471
       660         61        256        864        763          8        259         31
       434        497        914        222        989        641        646        875
       925        227        536        229        617        675        883         19
       923        215         46        296        506        535        768        166
       597        376        382        712        384        642        743        170
       491          9        393        480        651        391        707        928
       619        244        157        588        919         40        607        195
       608        653        491        466        541        611        633        138
       987         15        202        724          9        945        894        853
       306        639        685        309         31        393        237          2
       989        747        590        260        139        197        455        747
       202        299        214        743        262        199        233        602
       566        435        326        928        732        572        781         39
       212        818        348        243        211        586        245        552
       685        835        813        824        384        620        924        586
       919        138        682        534        689        915        136        255
       703        462        535        435        386        316        474        598
       135        823        193        698        761        438        251        798
       625        416        622        361         36        546        300        308
        36        982        842        725        897        978        333        600
       792        868        388        178        537        862        777        672
        37        970        722        150        761        325        948        738
       741        923        452        778        469        752        438        858
       734        280        583        983        258        916        936         50
       785        324        228        322        538        357        346        928
       328        420         78        441        746        379        531        839
       302        983        969        123        735        407        981        469
       687        917        453        945        833        741        347        970
        65        576        292        603        285        990        531        613
       411        962        406        509        341        938        348        995
       273        318        470          9        725        804        830        765
       721        635        710        906        376        410        877        441
       986        521        397        271        512        280        237        275
       242        995        784        935        285        484        282        559
       802        753        920        880        909        102        645        982
        90        707        888        466        117        117        260        455
       639          9         79        503        289        668        130        532
       663        914        467        301        398        750        212        553
       855        484        785        764        586        430        746        676
       489        986        495        959        104        107        414         95
       116        845        950        405        513         80        937        529
       346        757        830         96        859        394        649         66
       878        786        182        816        568        280        493         58
       266        340         17        722        447        783        817        563
       629        119        968        142        199        258        671        897
       367        853        994        226        247        995        292        477
       782        474        294        350        754        787        408        372
       479        777         95        926        561        264        841        542
       384        161        684        935        419        708        833        786
       913        827        364        513        174          8        990        956
       482        284        307        588        423         67        313        902
       197        408        180        110         24         21        652        760
       183        688        696        954        396        881        741        662
        60        457        175        234        466        165        191        300
       802        850        241        225        917        554 
Sorting:

Sorted:
-1003708927          2         11         18         21         24         25         49
        60         65         67         85        110        112        115        123
       129        131        138        165        168        175        180        183
       191        191        193        197        200        214        225        234
       241        245        253        264        275        282        284        300
       307        313        321        322        328        328        330        356
       381        396        408        409        409        410        423        424
       437        457        466        482        484        491        524        541
       871        871        880        881        888        902        909        914
       917        917        920        925        927        929        929        937
       950        952        952        954        959        960        982        982
       986   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        717        741
       746        750        753        757        759        760        764        785
       802        802        802        817        830        834        834        835
       845        850        850        852        855        859        863        863
       871        871        880        881        888        902        909        914
       917        917        920        925        927        929        929        937
       950        952        952        954        959        960        982        982
       986   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        717        741
       746        750        753        757        759        760        764        785
       802        802        802        817        830        834        834        835
       845        850        850        852        855        859        863        863
       871        871        880        881        888        902        909        914
       917        917        920        925        927        929        929        937
       950        952        952        954        959        960        982        982
       986   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        717        741
       746        750        753        757        759        760        764        785
       802        802        802        817        830        834        834        835
       845        850        850        852        855        859        863        863
       871        871        880        881        888        902        909        914
       917        917        920        925        927        929        929        937
       950        952        952        954        959        960        982        982
       986   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        717        741
       746        750        753        757        759        760        764        785
       802        802        802        817        830        834        834        835
       845        850        850        852        855        859        863        863
       871        871        880        881        888        902        909        914
       917        917        920        925        927        929        929        937
       950        952        952        954        959        960        982        982
       986   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        717        741
       746        750        753        757        759        760        764        785
       802        802        802        817        830        834        834        835
       845        850        850        852        855        859        863        863
-490213275         79         90        102        117 -1625813011 -1541071910 -1357550910
-1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435 -723158913 -641105700
       117        130        212        260        289        301        398        430
       455        466        467        484        489        495        503        532
       553        554        586        588        592        592        595        595
       613        624        625        631        634        638        638        639
       645        649        651        652        662        663        668        676
       677        688        695        695        696        702        707        717
       871        871        880        881        888        902        909        914
       917        917        920        925        927        929        929        937
       950        952        952        954        959        960        982        982
       986   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        717        741
       746        750        753        757        759        760        764        785
       802        802        802        817        830        834        834        835
       845        850        850        852        855        859        863        863
       871        871        880        881        888        902        909        914
       917        917        920        925        927        929        929        937
       950        952        952        954        959        960        982        982
       986   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 
