seed = 964 sort algorithm = Quick Sort

Unsorted:
       798        783        516        476        661        233        228        853
       649        549        824        530         94        109        590        872
       487        583        846        247        434        654        754        497
       109        392        722         87         19        614        774        170
       750        642        646        763        876        226        969        525
       127        145        407        573        255        997        446        742
       932        644        342        366        298         96        216        760
       841        938        847        860        905        973        382          7
       616        381        770        844        607         91        721         87
       237        128        660        492        125        458        586         58
       103        280        776        753        377        992        865        218
       283        713        430        540         38        813        547          6
       546        669        202        153        113        923        592        350
        51        253        194        529        711        132        939        166
       413         67        272        142        412        137        360         47
       202        142        587        241        307        486        599        853
       507        802        359        620        725        951        970        129
       556        516         10        268        649        301        786         62
       368         58        204        132        196        916        179        398
        58        766        991        366        252        943        219        112
       745        578        732        822        882         55        303        438
       571        313         58        220        966        845        634        335
       255        838        467        803        106        647        554        165
       765        545        883        370        840        454        482        585
       385        214        760        267        269        415         57        841
        81        116        413         47        313         48        382        920
       238        202        724        345        201        278        862        318
       823         97        688         16        551        522        953        288
       737        713        555        358        129        965        551        562
        81        965        609        746        365        344        666        955
       546        390        300         99        668        514        417        844
       611        458        860        515        980        813        803         69
       879        711        428        360        676        331        922        757
       296        531        855         13        875        521        969        773
       912        621        224        932        136        642        128         99
       100        340        614        432        154        770        502        385
       481        930        745        157        261         19        266        910
       902        121        275        130        642        244        903        906
       866        480        191        354        122        319        805        574
       660        772          6        166        542        508        551         23
       790        648        180         52         19        446        314        921
       919        589         51        561        186        307        820         52
       787         11        758        261        682        915        835        342
       687        193        860        229         54        763        252        844
       411        784        248        782        582        562        704        501
       152        107        415        338        766        235        742        553
       598        852        166        280        767        353        975        807
       547        835         36        601        599        641        445        362
       777         46        145        360        608        201        861        112
       308        628        802        427        863        544        980        461
       748        499         94        868        852         69        675        399
       904        711        352        855        704        150        218        482
       196        363        194        804        916         55        269        576
        36         71          3        899        968        336        713         68
       835        807        936        687        228        611        439        484
       675        791        340        731        293        558        213        489
       273        407        646        189        815        915        117        851
       338        121        102        306        809        167        375        644
       326        663        683        554        275        474         39        302
       618        379         33        911        289        247        753        562
         6        399        103        821        666        220         24          4
       693        127        663        502        646        390        498        973
        53        182        527        680          8        566        982        626
       297        368        890        586        967        643        148        973
       394        603        147         60        824        523        416        517
         2        431        372        649        821        870        622        875
       404        149        555        413         68        890        391        717
       258        281        304        225        924        804        550        318
       408        697        730        584        573        499 
Sorting:

Sorted:
       116        129        201        202        225        228        233        258
       281        304        318        391        413        476        499        516
       550        573        584        649        661        697        717        730
       783        798        804        853        924        214 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -641105700 -490213275          7         16         47         48         57
        69         81         81         94         96         97         99        216
       298        342        366        382        408        517        523        530
       862        870        870        872        872        875        875        890
       890        905        920        920        924        938        953        953
       955        955        965        965        965        965        973        980
       980   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        549        555
       583        590        603        614        622        649        654        722
       754        760        774        821        824        824        841        844
       846        846        847        853        860        860        860        862
       862        870        870        872        872        875        875        890
       890        905        920        920        924        938        953        953
       955        955        965        965        965        965        973        980
       980   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        549        555
       583        590        603        614        622        649        654        722
       754        760        774        821        824        824        841        844
       846        846        847        853        860        860        860        862
       238        267        269        278        288        300        313        318
       344        345        358        365        382        385        390        413
       415        417        458        499        514        515        522        546
       551        551        555        562        609        611        666        668
       688        697        713        713        717        722        724        724
       730        737        737        746        746        754        760        760
       774        783        798        803        803        804        813        813
       821        823        823        824        824        841        841        844
       862        870        870        872        872        875        875        890
       890        905        920        920        924        938        953        953
       955        955        965        965        965        965        973        980
       980   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        549        555
       583        590        603        614        622        649        654        722
       754        760        774        821        824        824        841        844
       846        846        847        853        860        860        860        862
       862        870        870        872        872        875        875        890
       890        905        920        920        924        938        953        953
       955        955        965        965        965        965        973        980
       980   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        549        555
       583        590        603        614        622        649        654        722
       754        760        774        821        824        824        841        844
       846        846        847        853        860        860        860        862
       116        129        201        202        225        228        233        258
       281        304        318        391        413        476        499        516
       550        573        584        649        661        697        717        730
       783        798        804        853        924        214 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -641105700 -490213275          7         16         47         48         57
        69         81         81         94         96         97         99        216
       298        342        366        382        408        517        523        530
       862        870        870        872        872        875        875        890
       890        905        920        920        924        938        953        953
       955        955        965        965        965        965        973        980
       980   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        549        555
       583        590        603        614        622        649        654        722
       754        760        774        821        824        824        841        844
       846        846        847        853        860        860        860        862
       862        870        870        872        872        875        875        890
       890        905        920        920        924        938        953        953
       955        955        965        965        965        965        973        980
       980   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 
