seed = 2806 sort algorithm = Quick Sort

Unsorted:
       556        712        263        613        146        124        298        514
       462         39        506        283        832        155        699        399
       606        864         40        114        790        606        357        227
       407        254        334        988        391        150        819        947
       214         82        913        712        207        211        227         21
       602        733        304        434        241        355        186        847
       220        226        314         10        832        671        589        591
       925        924        579        668        426        398        967        640
       833        880        353        392        443        932        413         45
       665         69        832        906        425         18        106        645
       596        420          7        428         91        949        372         16
       873        951        684        651        702          3        291        535
       236        996        927        679        928        340         77        594
       761        261        852        186        279        958        183        875
       378        543        655        469        492         27        837        717
       331        873        368         33        877         11        920        113
         8        847        144        936        539        221        882        300
       834        735        839        113         45        374        340        424
       917        348        245        761        727        435        478         58
       660        198        443        537        210        363          2        570
       562        499        858        453         72        741        106        907
       828        945        372        873        319        713        649        589
       413        247        350        140         34        181        551        694
       731        346        584        293         62        586        215        624
        85         74        430        158        815        536        417        995
       833        789        868        504        854        870        445        267
       469        148        760        503        681        311        197        412
         9        781         58         71        720        273         48        157
       347        478        667        514        366         84        509        199
       874        730         55        728        600        501        996         69
       649        108        572        330        419        121         94        780
       903        152        852        623        778        900        132        125
       730        800        640         96        884        501        647        110
       231         54        839        831        907        187        252        556
       295        176        238         66        298        333        846        553
       837         50        528        615        950        660         93         32
       460         85        480        345        586        479        455        170
       534        646          1        441        185        606        350        480
       782        588        898        432        273         97        985        463
       147        513        430        450        174        875        482        634
       960        963        331        899        794        139         69        328
       137        422        122        323        380        472        155        163
       412         54        595         38        151        581        853        298
        94        635        748        620        511        583        255        823
       898        938        722        692         77        143        373        215
       918        847        538        298        671        693        813         83
        99        409        473        602        342        678        901        788
       314          1        409        177        936         16          0        834
       954        723        879        384        218        252        599        136
        99        489        787        770        534        600        205        634
       361         31        236        703        709        489        844        375
       843        605        552        779        973        553        966        927
       628        845        663        846         97        262        335        548
       103        122        318        638        722        875        624         84
       906        212        139        968         54        335        343        249
       292        896         28        265        801        994        193        429
       839        208        627        288        471        314        836        926
       436        154        564        511         30        540        947        288
       105        438        256        159        774        600        408         66
       848        788        684        649        135        229         78        974
       437         57        615        908        372        451        187        160
       958        103         23        988        644        322        276        101
       761        533        612        887        485        372        305        333
       160        989        982        295        218        412        622        656
       821        589        916        545         40        103        706        998
       207         81        338        203        404        615        304        517
       500        916        404        337        288         61        670        800
        51          4        448        621        416        422        277        589
        11        546        135         51          1        193 
Sorting:

Sorted:
       147        170        174        185        193        203        205        207
       218        231        236        238        252        252        262        265
       273        288        318        335        337        361        375        384
       391        404        462        489        489        500        517        534
       548        552        589        599        600        605        628        634
       638        663        670        703        709        722        723        770
       779        787        801        821        821        828        831        832
       834        843        844        845        846        879        896        916
       832        837        839        839        846        847        858        873
       875        882        884        898        907        907        916        916
       917        936        945        950        954        985        994        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -490213275          1          2         28         31         54         84
        97         97         99        103        122        136        139        712
       832        837        839        839        846        847        858        873
       875        882        884        898        907        907        916        916
       917        936        945        950        954        985        994        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -490213275          1          2         28         31         54         84
        97         97         99        103        122        136        139        712
       832        837        839        839        846        847        858        873
       875        882        884        898        907        907        916        916
       917        936        945        950        954        985        994        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -490213275          1          2         28         31         54         84
        97         97         99        103        122        136        139        712
       283        295        298        304        333        338        345        350
       404        429        430        432        441        450        455        460
       463        479        480        480        482        501        506        513
       528        534        545        553        556        562        570        584
       586        586        588        589        589        589        606        613
       615        615        621        624        634        640        646        647
       649        660        660        694        706        706        713        727
       730        731        735        741        761        782        800        800
       832        837        839        839        846        847        858        873
       875        882        884        898        907        907        916        916
       917        936        945        950        954        985        994        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -490213275          1          2         28         31         54         84
        97         97         99        103        122        136        139        712
       147        170        174        185        193        203        205        207
       218        231        236        238        252        252        262        265
       273        288        318        335        337        361        375        384
       391        404        462        489        489        500        517        534
       548        552        589        599        600        605        628        634
       638        663        670        703        709        722        723        770
       779        787        801        821        821        828        831        832
       834        843        844        845        846        879        896        916
       832        837        839        839        846        847        858        873
       875        882        884        898        907        907        916        916
       917        936        945        950        954        985        994        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -490213275          1          2         28         31         54         84
        97         97         99        103        122        136        139        712
       832        837        839        839        846        847        858        873
       875        882        884        898        907        907        916        916
       917        936        945        950        954        985        994        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 
