seed = 5015 sort algorithm = Quick Sort

Unsorted:
       388        694        275        366        230        252        103        214
       899        184         53        575        622        241        508        787
       989        248        506        166        699        216        754        775
       451        816        497        116        894        348        547        283
        42        822          1        273        427        456        839        678
       640        244        254        614        486        114        401        475
       362        259        641        413        475        747        541        279
       563         38        395        458        387        294         93        429
       117        446         54        896        254        894        574        894
       490        180        509        976        294        262        803          8
       522        797        422        349        544        963        628        460
       353        375        270         92        670        715        874        139
       161        280         35        415        526        961        661         17
       142        522        993        788        785        797        797        659
       594        571          8        490        886        989        950        591
       716        572        684        738        287        910        877        800
       190        264        215        717        226        229        734        368
       751         79        508        888        876        305        547        822
       228        908        665        114        897        967         58        965
       540         94        704        179          4        581        980        194
       198        547        911        424        776        997        144        880
        77        652        768        305        310        668        480        890
       576        145        357        825        112        415        142          4
       509        846        184        513        780        516         59        978
       415        971        402        192        320        898        424        397
       902        544        703        212        564        183        103        140
       680        460        317        144        227        460        149        736
       658        685        601        438        553        660        416        968
       983        170        512        304         68        936         53        323
       481        756        535         45        291        990        538        323
       802        207        468        381         19        969        117         30
       654        718        468        207        731        885        527        714
       407         40         18        828        976         72        151        809
       180         38        207        824        381         97        499        183
       656        967        565         28        936         34         58        942
       105        526        501        836        763         29        550        523
        69        921        351        397        345        502        207        877
       540        766         53        921        215        553        457        871
       520        374        251        809        408        309        751        513
       188        605        701        303        634        252        826         55
       525        177        452        870         31         11         99        572
       129        153        493        344        706        302        568        578
       676        819        387         85        481        491        950         21
        96        652        676         82        256        503        137        781
        32        941          3         64        305        102        988        434
       607        833        779        313        136        699        892        812
       870        631        249        351        122        552        724        570
       204        401        652        812        256        141        945        288
       435        948        704        740        402        692        174         10
       526        305        675         14        356        919        826        227
       551        428        930         25        980        655        596        536
        56        600        348        312         94        293        952        529
       593          9        621        347        701        147        709        579
       453        737        593        161        656        772        388        559
       200        319        585        180        326        533         68        734
       485        416         46        579         61        350        460          6
       359         81        353        413        229         63        344         34
       152        290        195        808         62        936        368        614
       255        305        146        581        838        214        315        323
       982        713        255         43        415        715         49        127
       149        754        892        378        169        236        764        321
       878        959        130        940        895        850        906        502
       155         52        435        345        266        102        668        248
       167        275        643        935        991        692         62        140
       799        306        870        968        894        634        290        773
       945        772        713        193        622        620         47        129
        24        483        474        643        937        494        891        105
       122        887        392        113        579        806        605        730
       112        827        699          6        461        341 
Sorting:

Sorted:
        68         93        103        114        117        140        144        149
       366        392        474        483        494        508        575        579
       605        620        622        622        643        713        730        772
       773        787        806        887        891        899        937        945
       989        170 -1625813011 -1541071910 -1541071910 -1357550910 -1355619262 -1346725710
-1346725710 -1345938988 -1323837443 -1262747217 -1262747217 -1003708927 -999883435 -999883435
-723158913 -641105700 -490213275 -490213275          1         19         30         38
        42         45         53        244        254        259        273        279
       891        894        894        898        898        899        902        902
       936        936        937        945        968        968        968        968
       969        969        971        971        983        983        989        990
       990   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        294        362
       387        395        401        413        429        458        475        475
       486        506        541        563        614        634        640        641
       694        699        747        870        870        885        885        887
       891        894        894        898        898        899        902        902
       936        936        937        945        968        968        968        968
       969        969        971        971        983        983        989        990
       990   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        294        362
       387        395        401        413        429        458        475        475
       486        506        541        563        614        634        640        641
       694        699        747        870        870        885        885        887
       183        192        207        207        212        227        291        304
       317        320        323        323        341        381        397        402
       415        416        424        438        460        460        468        468
       481        512        527        535        538        544        553        564
       601        654        658        660        680        685        685        694
       699        699        703        703        713        714        714        718
       718        730        731        731        736        736        756        756
       772        773        787        799        802        802        806        827
       891        894        894        898        898        899        902        902
       936        936        937        945        968        968        968        968
       969        969        971        971        983        983        989        990
       990   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        294        362
       387        395        401        413        429        458        475        475
       486        506        541        563        614        634        640        641
       694        699        747        870        870        885        885        887
       891        894        894        898        898        899        902        902
       936        936        937        945        968        968        968        968
       969        969        971        971        983        983        989        990
       990   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        294        362
       387        395        401        413        429        458        475        475
       486        506        541        563        614        634        640        641
       694        699        747        870        870        885        885        887
        68         93        103        114        117        140        144        149
       366        392        474        483        494        508        575        579
       605        620        622        622        643        713        730        772
       773        787        806        887        891        899        937        945
       989        170 -1625813011 -1541071910 -1541071910 -1357550910 -1355619262 -1346725710
-1346725710 -1345938988 -1323837443 -1262747217 -1262747217 -1003708927 -999883435 -999883435
-723158913 -641105700 -490213275 -490213275          1         19         30         38
        42         45         53        244        254        259        273        279
       891        894        894        898        898        899        902        902
       936        936        937        945        968        968        968        968
       969        969        971        971        983        983        989        990
       990   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        294        362
       387        395        401        413        429        458        475        475
       486        506        541        563        614        634        640        641
       694        699        747        870        870        885        885        887
       891        894        894        898        898        899        902        902
       936        936        937        945        968        968        968        968
       969        969        971        971        983        983        989        990
       990   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 
