seed = 353 sort algorithm = Quick Sort

Unsorted:
        17        350        687        984        356         16        159        445
       957        103         93        106        560        735        893        643
       199        574        399        667         67        688        834        172
       640        629         23        522        225        975        212        595
       325        899        931         33        268         91        830        225
       546        275        332        106         11        577        749        210
       151        500        877        571        540        712         95        181
       693        470         55        918        445        268        513        123
       519        445        508        787        888        339         13        434
       614        697        892        977        274        642        540        777
       142        417        700         35        481        795        216        526
       266        271        797         63        891        662        186        411
       107        695        550        347         34        563        781          0
       612        674        978        886        668        518         16        162
       287        716        197        121        512        765        647        130
        37        796        545        280        459        732         43        566
       779        594        266        165        509         47        165        122
        73        143        360        741         13        376        904        301
        93        453        774        957        219        773        439        608
       570        984        888         29        716        932        947        847
       878        213         12        387        613        530        509        686
        25        870        780         39        598         36        692        691
       489        466          0        708        239        439        668        809
       424        557        838        492        841        138        692        719
       351        704        106        964        234        968          3        260
       190        783        651        788        819        343        832        308
       161        184        369        400        624         37        562        400
       946        752        244        139        890        936        210        242
       641        669        558        227        637        561        839        179
       344        490        967        515        185        151        176        346
       336        897         99        312        934        661        712        233
       413        308        724        656        245        935        250        238
       604        808        465        241        722        657        420        418
       499        739        934        685        243        462        383        931
       359        482        595        645        495        659        878        261
       967        955        917        212        890        167        450        494
       327        268         87         49        925        859        820        776
       950        754        813        545        216        197        476        927
        31         71        572        527        730        451        140        698
       406         57        262        648        576        713        494        903
       333        581        305        610        792        125        386        742
       879        200        288        447        397        116        374        780
       188        946        659        270        749        799        320        507
       856        583        507        784        648          1        688        981
       934        993        591        726        118        329        821        349
       529        109        796        278        225        522         59        765
       820        718        388        922        870        708        781         78
       643        289        863        291        290        551        624        225
       896        215        303         14        897        124        715        426
       233        863        705        811        385        116        928        557
       834        668        479         56        377        261        135         20
       902        998        664        544        901        288        769        797
       856         73        163        753        549        878        179        135
       741        236        298        478        352        226         35        539
       247        867        595        624        128        730        996        382
        80        660        926        981        301         48        130        157
       473        293        262         22        523        441        157        264
        30        455        742        382         34        130        921        281
       997        869        257        477        599        605        859        680
       618        785         13        919        833        496        428        306
       789        690        681        313        483        838        929        513
       646         24        248        680        154        521        313        151
       390        922        628        342        527        487         22        145
