seed = 2601 sort algorithm = Quick Sort

Unsorted:
       242        889        542         78        779        441        278        879
       295        850        396        567        560        777        464        673
       170        249        990        731        517        118        340        546
       261        546        215        435        725        521        751        319
       762        645        397        893        439         28        772        734
       230        520        302        791        649        118        816        820
       367        806        903        236        924        244        782        186
       790        349        973        867        870         76        539        984
       722        936        877        513        316          1        247        547
       874        549        690        523        667        506        343        387
       664        247        623        589        843        758        127        985
       107        452        853        330        528        744        666        602
        32        544        115        349        897        715        248        771
       616        938        647        284        796        342         23        460
       589        998        401        432        108        880        770        216
       332        623        898        213        719        564        167        751
       460        635        452        358        350        700        481        966
       990        128        602        786        471        625        599        412
       976        352        197         84        233        967        652        917
       942        550        482        661        115        650        764        927
       285        217        285        987        917        119        953        260
       599        908        398        422        885        349        835        861
       702        384        298        935        703        950        204        997
       853        687        658        968        337        774        247        974
       991        533        961        261          4        266        521        603
       174        271        378         60        621        565        273        323
       949        923        610          4        874        814          1         79
       501         11        399        190        785        646        516        777
       531        829         38        535         96        911        491        622
       534        869         34        155        434        660        830        735
       583        792         91        809        607         92        888        460
       103        287          3        240        934        519         17        465
       349        407        353        797        670        844        771        205
        65        806        712        851        466        543        938        401
       335         29        211        294        473         99        107        928
       387        462        168        673        981        186        138        682
       945        843        831        616        687        603        173        104
       409        885        307        227        780        245        628        116
       626        839        762         99        291        221         27         30
       683        196        703        665        734        193        699         31
        37        531        647         76        134        820        533        895
        58        840        122        838        438        750        306         64
       942         69        516        585        290        543        615        326
        91        670        991        177        863         42        209        252
       573        208        329         59        381        214        954        439
        54        428        277        492        179        584        909        473
         5        425         58        647        320         25        973        764
       695        316        941        910        359        502        163        284
       711        844        344         92         58        650        883        112
        79        160        957        610         96        866        435        101
       291        845        749        611        870        722        727        565
       391        669        475        750        171        990        386        234
       834         82        678        244        733        561        709        164
        74        666        774        170        884        561        624        175
       406        373        138        276        447        866        193        838
       887         20        940        410         11        327        645        197
       409        675        794        494        237        503        658        311
       521        784        833        405        345        457        580        103
       182         70        379        982        288        924        820        175
       945        113        938        308        792        935        857        201
       610        651         48        847        506        706        510         27
       843        696        432        540        153        364        644        336
       435        375        318         75        300        490        251        597
       955        541        257        747        476        114        301         86
       118        349        286        624        407        796        652        250
       844         84        791        998        449        787        686        236
       162          4        311        462        846        914        411        802
       455        668        901        931        783        202         18        901
       551        304        877        959        452        529 
Sorting:

Sorted:
-999883435 -999883435 -723158913 -641105700 -490213275         18         76        162
       170        202        236        242        249        278        295        304
       311        396        411        441        452        452        455        460
       462        464        517        529        529        539        542        546
       546        551        560        567        624        635        645        652
       668        673        686        725        731        751        762        777
       779        783        787        791        791        796        796        797
       802        802        835        844        844        846        846        850
       914        917        917        927        931        931        935        942
       950        953        959        959        966        967        968        974
       976        984        987        990        990        990        997        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1541071910 -1346725710 -1323837443 -1262747217 -1003708927        850        853        861
       870        877        877        879        879        885        889        889
       893        893        901        901        901        901        908        914
       914        917        917        927        931        931        935        942
       950        953        959        959        966        967        968        974
       976        984        987        990        990        990        997        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1541071910 -1346725710 -1323837443 -1262747217 -1003708927        850        853        861
       870        877        877        879        879        885        889        889
       893        893        901        901        901        901        908        914
       914        917        917        927        931        931        935        942
       950        953        959        959        966        967        968        974
       976        984        987        990        990        990        997        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1541071910 -1346725710 -1323837443 -1262747217 -1003708927        850        853        861
       870        877        877        879        879        885        889        889
       893        893        901        901        901        901        908        914
-999883435 -999883435 -723158913 -641105700 -490213275         18         76        162
       170        202        236        242        249        278        295        304
       311        396        411        441        452        452        455        460
       462        464        517        529        529        539        542        546
       546        551        560        567        624        635        645        652
       668        673        686        725        731        751        762        777
       779        783        787        791        791        796        796        797
       802        802        835        844        844        846        846        850
       914        917        917        927        931        931        935        942
       950        953        959        959        966        967        968        974
       976        984        987        990        990        990        997        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1541071910 -1346725710 -1323837443 -1262747217 -1003708927        850        853        861
       870        877        877        879        879        885        889        889
       893        893        901        901        901        901        908        914
-999883435 -999883435 -723158913 -641105700 -490213275         18         76        162
       170        202        236        242        249        278        295        304
       311        396        411        441        452        452        455        460
       462        464        517        529        529        539        542        546
       546        551        560        567        624        635        645        652
       668        673        686        725        731        751        762        777
       779        783        787        791        791        796        796        797
       802        802        835        844        844        846        846        850
       914        917        917        927        931        931        935        942
       950        953        959        959        966        967        968        974
       976        984        987        990        990        990        997        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1541071910 -1346725710 -1323837443 -1262747217 -1003708927        850        853        861
       870        877        877        879        879        885        889        889
       893        893        901        901        901        901        908        914
       914        917        917        927        931        931        935        942
       950        953        959        959        966        967        968        974
       976        984        987        990        990        990        997        998
       998   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 
