seed = 1288 sort algorithm = Quick Sort

Unsorted:
       508        680        510        123        676        265        513        261
       878        870        838        687        871        923        770        123
       979        108        733        405        914        200        638        731
       315        709        583        749         93         53         86        601
       733        948        724        762        213        589         23        443
       812        214        130        683        137        900        158        468
         8        892        873        922        444        863          6        111
       573        589        212         18        642        298        619        727
       598        696        489        811        285        865        606         97
        79        737        132        568        637        643         37        998
       535        262        272        331        126        278        442         51
       219        655         69        213        305         40        941        904
       736        782         67         22        647        674        471         78
       411        604        647        400        247         36        398        134
       298         23        817        424        653        611        827        873
       266        896        438        924        937        379        828        673
       514        895         47        513        921        519        592        332
       475        591         85         74        627        835        560        925
       858        729        702        864        340        881        737        607
       130        175        883        419        907        711         92        773
       958        492        286        880        363        878        564        190
       469        649        616        448        485        176        726        695
       257        780        559        597        661        648        556        791
       176        439        210        435        150        655        208        461
       499        494        341        862        725        257        404        546
       907         20        995        744        548         73        791        805
       853        351        402        514        351        311        658        527
       750        220        962        253        227        522        714        726
        17        407        940         94         16        344        640        275
       364        987         19        264         60        163         69        913
       866        824        780        217        135        790         97        237
        10         59        490        238        934        556        316        303
       315        257        397        332        601        389        607        318
       377        979        582        789        142          4         55          8
       180        187        577        667        977        674        256        339
        86        747        929         20        655        246        323        323
       503         72        655        456        461        614        774        190
       593        709        980         87         65        387        447        597
       574         25        264        551        699        520        242        785
       619        172        157        627        418        480        950        273
       552        957        729        366        571        504        556        517
       565        888        956        630        275        756        227        849
       781        843        752        832        715        995        970        687
       167        127        314        937        960        616        210        512
       573        291        230        496        147        787        365        712
       675        674        694        303        430        273        152        211
       116        905        395        184        252        365        871        771
       845        185         60        805        153        270        669        726
       561        900        574        709        687        940        773        714
       614        468         17        396         93        522        959        210
       779        354        746         31         72        617        154        917
       154        214        722        307        836        391         33        397
       643        959        458        330        899        584        397        865
       404        766        613        497        288        572         59         67
       927        805        450        999        422        604        268        576
       170        342        883          6        733        268        404        377
       228        214         59        479        150        808        697        554
       575        310         52        863        883        111        283        810
       917         85        161        691        690        781        268        860
       123        503        867        208        772        623        937          0
       189        997        479        340        805        528        894        732
       839        298        596        722        410        231        884        679
       316        397        370        358        178        638        219        301
       142        438        509        266        413        447        266        954
       796         97        294        953        626        541        686        817
       839        634        539        601        865        423        280        181
       172        651        540        350        641        111          3        135
       901        864        401        666        663        667        620        459
       117        267        765         95        808        451 
Sorting:

Sorted:
       147        152        153        167        184        185        210        211
       227        230        252        270        273        275        291        303
       314        365        365        366        395        430        496        512
       539        552        573        583        589        589        601        601
       619        626        634        638        642        683        686        709
       724        727        729        731        733        733        744        744
       749        750        750        762        765        770        770        780
       780        790        790        791        791        796        805        808
       812        817        817        824        838        839        839        853
       862        863        864        865        865        866        870        871
       873        878        888        892        900        901        907        913
       914        922        923        934        940        948        953        953
       957        962        979        979        987        995 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -641105700         16         17         18         19         20         23
        53         59         60         60         69         73        116        127
       812        817        817        824        838        839        839        853
       862        863        864        865        865        866        870        871
       873        878        888        892        900        901        907        913
       914        922        923        934        940        948        953        953
       957        962        979        979        987        995 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -641105700         16         17         18         19         20         23
        53         59         60         60         69         73        116        127
        86         93         94         97         97        108        111        123
       130        135        137        158        163        200        212        213
       214        217        220        227        237        238        253        257
       264        275        294        298        303        311        315        316
       341        344        351        351        364        402        404        405
       407        423        443        444        451        468        490        494
       499        514        522        527        546        548        556        640
       658        714        714        725        725        726        726        733
       812        817        817        824        838        839        839        853
       862        863        864        865        865        866        870        871
       873        878        888        892        900        901        907        913
       914        922        923        934        940        948        953        953
       957        962        979        979        987        995 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -641105700         16         17         18         19         20         23
        53         59         60         60         69         73        116        127
       812        817        817        824        838        839        839        853
       862        863        864        865        865        866        870        871
       873        878        888        892        900        901        907        913
       914        922        923        934        940        948        953        953
       957        962        979        979        987        995 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -641105700         16         17         18         19         20         23
        53         59         60         60         69         73        116        127
       812        817        817        824        838        839        839        853
       862        863        864        865        865        866        870        871
       873        878        888        892        900        901        907        913
       914        922        923        934        940        948        953        953
       957        962        979        979        987        995 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913 -641105700         16         17         18         19         20         23
        53         59         60         60         69         73        116        127
       147        152        153        167        184        185        210        211
       227        230        252        270        273        275        291        303
       314        365        365        366        395        430        496        512
       539        552        573        583        589        589        601        601
       619        626        634        638        642        683        686        709
       724        727        729        731        733        733        744        744
       749        750        750        762        765        770        770        780
       780        790        790        791        791        796        805        808
       812        817        817        824        838        839        839        853
       862        863        864        865        865        866        870        871
       873        878        888        892        900        901        907        913
       914        922        923        934        940        948        953        953
       957        962        979        979        987        995 
