seed = 1088 sort algorithm = Quick Sort

Unsorted:
       725        127        750         98        528        572        166        657
       418        309        313        866        546        572        577        107
       536        880        886        161        618        315        162        827
       243        792        260        663         29        790        753        106
       270        856        205        150        428        723        159        198
        32        472         64        579         44        993        686        580
       874        572         94        844        239        256        671        483
       400        284        498        430        426        603        536         48
       811         93        198        591        817        357        789        849
       829        206        780        225        199        466        806        425
       390        252        621        630        860        645        465        260
       929        315        690        355        918        227        756        730
       672        954        321        489        312        463        691        493
       669        471        719        220        290        877        998        680
       481        619        662        341        264        127        601        193
       442        644        901        713        223          9        795        895
       963        116        737        627        579        428        473        600
       251        544        821        541        773        819        574        254
       438        236        595         55        716        548        600        510
       192        853        575        767        862        370        663        826
       487        400        805        418        180        278         19        783
       174        192        325        947        363        251        201        153
       839        148        208        907         49        809        418        241
       662        993        361        877        716         24         55        203
       776        860        973        308        491        344         91        665
       888        768        965        251         19        166        405        211
       667        613        118        716        774        888        309        789
       234        670        666        950        694        721        505        822
       933        830        482        776        175        574        794        415
       694        759        667         66        925         72        277        592
        37        395        308        812        636        618        601        870
       640        619        172        687        340         29        509        625
       859        992        402        386        918        196        802        612
       955        469        678        232        893        955        177        930
       703        837        742        691        807        695        913        448
       666         85        135        358        114        996        984        325
       340        738        712        258        934        514        223        241
       335        253        825        228        561          2        158        264
       840        253        307        647        300        220        447        967
       657        582        325        123        579        309        448        271
        47        512        530        333         26        105        926        713
       358        752        941        919        754        452        535        946
       705        842        946          5        414        393        324        423
       976        650        546        907        311        347        178        711
       859         60         44        238        517        323        951        876
        75        245        795        181        697        683        128        754
       877        426        759        292        819         84        715        147
        86        614        406        397        313        937        108        524
       997        505        762        867        828         66        743        255
       663        890        788        360        925        268        114        803
       694        225         95        514        661        162        661        747
       128         68        497        441          5        605        318        354
       462        432        221        642        850        316        897        513
       559        686        225        484        954        691        287          1
       917        734        515        930        249        528         30        377
       948        527        171        953        484        489        660        947
       273        233        589        124        902        839        637        461
       877        863        945        183        554        585        184        823
       319        699        754        568        580        784        298        528
       663        821        834        147        662        846        446        935
        79        388         59        981        227         49        794        456
       264        740        639        818        677        824        994        996
       875        748        917        807        884        567        336        899
       740        522         46        754        368        845        689        799
       233        101        781        812        502        927        268        766
        19        259        584        696         83        578         45        311
       678        962        118        914        881        806        813        621
       328        212        375        696         57        416        496        642
       869        629        454        371        556         74 
Sorting:

Sorted:
        37         66         72         84         86         91        105 -641105700
-1625813011 -1625813011 -1541071910 -1541071910 -1357550910 -1357550910 -1355619262 -1355619262
-1346725710 -1346725710 -1345938988 -1345938988 -1323837443 -1323837443 -1262747217 -1262747217
-1003708927 -1003708927 -999883435 -999883435 -723158913 -723158913 -490213275 -490213275
         5         19         26         29         44         47         60        108
       118        128        147        166        175        223        233        292
       311        313        324        333        347        358        393        397
       406        414        423        426        452        502        512        524
        37         66         72         84         86         91        105 -641105700
-1625813011 -1625813011 -1541071910 -1541071910 -1357550910 -1357550910 -1355619262 -1355619262
-1346725710 -1346725710 -1345938988 -1345938988 -1323837443 -1323837443 -1262747217 -1262747217
-1003708927 -1003708927 -999883435 -999883435 -723158913 -723158913 -490213275 -490213275
         5         19         26         29         44         47         60        108
       118        128        147        166        175        223        233        292
       311        313        324        333        347        358        393        397
       406        414        423        426        452        502        512        524
       754        754        756        759        759        766        768        774
       776        776        780        781        789        789        794        795
       806        806        812        819        842        859        860        870
       877        919        926        927        937        941        946        946
       973        976  222698990  542060153 1124473524 1634695373        530        535
       614        650        678        680        683        687        690        691
       694        694        696        696        705        711        713        713
       715        716        719        721        725        730        750        752
       178        199        206        211        212        220        225        234
       251        259        268        277        308        308        309        311
       328        340        344        355        357        371        375        395
       405        415        416        454        482        491        493        496
       505        509        556        574        578        584        591        592
       601        601        613        618        619        619        621        621
       625        629        630        636        640        642        644        645
       662        665        666        667        667        669        670        672
       754        754        756        759        759        766        768        774
       776        776        780        781        789        789        794        795
       806        806        812        819        842        859        860        870
       877        919        926        927        937        941        946        946
       973        976  222698990  542060153 1124473524 1634695373        530        535
       614        650        678        680        683        687        690        691
       694        694        696        696        705        711        713        713
       715        716        719        721        725        730        750        752
        37         66         72         84         86         91        105 -641105700
-1625813011 -1625813011 -1541071910 -1541071910 -1357550910 -1357550910 -1355619262 -1355619262
-1346725710 -1346725710 -1345938988 -1345938988 -1323837443 -1323837443 -1262747217 -1262747217
-1003708927 -1003708927 -999883435 -999883435 -723158913 -723158913 -490213275 -490213275
         5         19         26         29         44         47         60        108
       118        128        147        166        175        223        233        292
       311        313        324        333        347        358        393        397
       406        414        423        426        452        502        512        524
       754        754        756        759        759        766        768        774
       776        776        780        781        789        789        794        795
       806        806        812        819        842        859        860        870
       877        919        926        927        937        941        946        946
       973        976  222698990  542060153 1124473524 1634695373        530        535
       614        650        678        680        683        687        690        691
       694        694        696        696        705        711        713        713
       715        716        719        721        725        730        750        752
       754        754        756        759        759        766        768        774
       776        776        780        781        789        789        794        795
       806        806        812        819        842        859        860        870
       877        919        926        927        937        941        946        946
       973        976  222698990  542060153 1124473524 1634695373        530        535
       614        650        678        680        683        687        690        691
       694        694        696        696        705        711        713        713
       715        716        719        721        725        730        750        752
       754        754        756        759        759        766        768        774
       776        776        780        781        789        789        794        795
       806        806        812        819        842        859        860        870
       877        919        926        927        937        941        946        946
       973        976  222698990  542060153 1124473524 1634695373 
