seed = 8897 sort algorithm = Quick Sort

Unsorted:
       300         87        156        505        646        774        994        430
       668        994        132        727        452         74        653        855
       339        102        195        242          1        313        975        929
       804        894        163        160        166        267        175        819
       354        331        676          0        457         22        782        477
        17        914        205        821        988        210         28        680
       664        223        274        665        536        601        594        340
       496        109        852         14        376        380        185        730
        63        862         82        521        884        864        998        253
       778        555        427        119        117        807        151        781
        31        777        446        919        379        392        612        227
       501        464        241        877        196        427        959        260
       641         41        781        877        257        131        483        388
        39        262        859        156         69        362        290        452
       139         88        372        870        833        984         97        334
       800        691        212        997        470        523        609        463
       917        390        340        174        873        175        914        264
       437        773        773        507        135         63        311        275
       503        683        497        336         19        595        671        172
       638        235        521        108        758        130        571         27
       872        263        202        745        791        116         10        228
       242        783         87        377        198        399          4         53
       434        854        390        806        449        413        978        439
         0        851        547        110        981        470        138        205
        85        692        302        876        808        664        457        402
       799        544        132        997        295        488         51         82
       342        793        888        143        558        218        582        558
        69        129        668        402        951        158        607        389
       850        909        265        659        574        722        413        373
       619        545        723        914         34        126        996        728
       919        236        872        829        454        454        387        875
       936        407        277        887        566        236        628        416
       146        246        427        720        968        841        445        939
       738        168        206        124        294        554        853        565
       791        725        394        597        179        133        473        115
       541        102        355        107        339        335        523        485
       581        303        557        902        144        354        841        882
       875        399          7        521        954        212         87        745
       937        833        694        468        319        519        936        860
       622        643        319        961        978        194        798        560
       497        707        462        993         61        655        228        936
        55        235        810          9        799        897        106        736
        82        800        204        401        320        140        613        294
       135        932        255        114        479        405        674        976
       464        488        970        525        143        198        814        198
       785        624        559        584        873        665        672        307
       818        228         61        490        721        674        784        856
       959        391        970        438        148        996        766        612
       484         88        489        628        286        655        178        423
       631         90        359        504        755        383        164        925
       612        225        767        333        251        903        189        210
       646        160          0        794        156        767        758        993
       855        248        973        494        255        151        269        887
       241        629        743        349         12        907        626        624
       484        746        309        736        649        499        298        296
       659        299        442        167        418        201        160        273
       801        485        119         56        637        389        943        230
       370         39        931        734        298        910        711        783
       656         20        871        657        519        521        953        530
       172        748         50        590        949        562        216        102
        48        335        158         37         76        454        619        446
       845        551        181        143        813        892        926        821
       912        149        478        784        671        784        314        843
       532        364        786        833        927        354        935        327
        41        445        364        118        251        983        916         96
       886         97        240        699        341        518        872        606
       668        351        742        691        487         56        886        371
       773         24        204         52        378        491        379        420
       936         95        890        188         78        806 
Sorting:

Sorted:
         0          1         14         17         22         24         28         52
        56         74         78         87         95         96         97        102
       109        118        132        156        160        163        166        175
       185        188        195        204        205        210        223        240
       242        251        267        274        300        313        331        339
       340        341        351        354        364        371        376        378
       379        380        420        430        445        452        457        477
       487        491        496        505        518        536        594        601
       912        914        914        916        919        926        927        929
       931        935        936        936        936        943        949        951
       953        975        983        988        993        994        994        996
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913         39         41         48         50         51         56         69
        76         82         85        102        119        126        129        230
       912        914        914        916        919        926        927        929
       931        935        936        936        936        943        949        951
       953        975        983        988        993        994        994        996
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913         39         41         48         50         51         56         69
        76         82         85        102        119        126        129        230
       132        143        143        149        158        158        172        181
       216        218        236        236        265        277        295        302
       314        327        335        342        354        364        373        387
       389        402        402        407        413        416        446        454
       454        454        457        478        488        532        544        545
       551        558        558        562        566        574        582        590
       606        607        619        619        628        646        653        659
       664        664        665        668        668        668        671        676
       912        914        914        916        919        926        927        929
       931        935        936        936        936        943        949        951
       953        975        983        988        993        994        994        996
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913         39         41         48         50         51         56         69
        76         82         85        102        119        126        129        230
       912        914        914        916        919        926        927        929
       931        935        936        936        936        943        949        951
       953        975        983        988        993        994        994        996
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913         39         41         48         50         51         56         69
        76         82         85        102        119        126        129        230
       912        914        914        916        919        926        927        929
       931        935        936        936        936        943        949        951
       953        975        983        988        993        994        994        996
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435
-723158913         39         41         48         50         51         56         69
        76         82         85        102        119        126        129        230
       298        370        389        462        485        497        519        521
       637        655        656        657        680        691        692        699
       707        711        722        723        727        728        730        734
       742        748        773        774        782        783        784        784
       786        793        799        801        804        806        808        813
       819        821        821        829        833        843        845        850
       852        855        871        872        872        875        876        886
       886        887        888        890        892        894        909        910
       912        914        914        916        919        926        927        929
       931        935        936        936        936        943        949        951
       953        975        983        988        993        994        994        996
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 
