seed = 8555 sort algorithm = Quick Sort

Unsorted:
        73        643          4        741        327        423         28         84
       397        341        374        928         28        576        159        803
       730        493        826        491        181        554        188        862
       910        636        398         85        568        600        755        641
       596        759        735        923        182        763        359        931
       457         85        860        485        661         19        640        743
       864        818        235        398        725        775        260        987
       411        658         73        331        259        180        324        855
       939         59        130        474        175        489        405        984
       574        265        821        588        285        813        331        501
       632        918        899        709        693        159        696        456
       170        121        787        781        301        112        988        241
       523        470        715         50        959        472         34        885
       738        855        825        375        669        157        876        653
       427        128        362        121        287         58        929        809
       180        717        590        833        181        930         74         56
       400        141        107        359        614        141        597        704
       349        422         79         18        931        307         23        359
       435        385        832         75        795        761        884        327
       830        827        161        363        757        587        420        158
        81        527        869         47         20        466        751        369
       241        182        739        172        489        762        531        277
       499        715        352        295        477        236        974        307
        63        487        671        173         75        443        331        156
       970        552        555        990        371        306        360        612
       840        451        784        329        214        668        606        713
       383        310        360        212        547        687        872        962
       174        895        487        249        338        170        757        308
       723        312        650        446        970        362         58        810
       814        194        492        380        214        450         93        598
       761        806        162        660        493         34        974         19
       929        462        621        267        632        378        927        707
        43        578        153        365        292        563        528        106
       758         20        486        324        470        932        274        583
        90        437        243        935        471        218        954        753
        32        575         20        664        306        300        724        701
       878        229         66        522        793        946        629        903
       966        467        227        789        751        854        372        841
       291        968        776        114        186         83        867        570
       658        240        234        964        540        310        665        418
       540         84        292        685         30        921        588        349
       741        167        138        844         21        862        686        664
       830        814        779        368        897        998        938        908
       238        525        872        778        835        890        548        727
       326        841        412        356        114        352        705        855
       872        195        700        245         58        738        910        240
       904         41        609        154         39        899        414        278
       424        638        408        612        528        957        691        854
       798        104        563        264        808        620        120         32
       816        172        278        226        262        540        466        518
       581        427         24        972        679        438        250        103
        77        659         67        957        968        759        812        118
       215        727        382        375        347        854        408        163
        26         38        741        640        578        208        511        511
       987        887        483        666        326         86        122        755
        97        189        712         65        300        876        183        867
       603        565        243        303        420          3        818        798
        41        560        791        619        768        302        130        107
       189        965        774        867         51        896        974        148
       437        687        213         90        915        748        957        871
       314        200        174         86        203        992        884        596
       552        675        215        672        329        697        780        871
        15        906        738         66        154        713        567        943
