seed = 1205 sort algorithm = Quick Sort

Unsorted:
        66        545          8         80        669        534        817        815
       764         71        751        250        243        585        927        974
       798        438         20        835          0        206        903        304
       885         85         91        711        580        755        732        646
       300         92         78        322        626        896        137        390
       319        240        641        562        177        920        536        976
       710        908        163        711        114         66        367        351
       504        459         62         84        214        146         82        867
       238        161        189        217         57        678        959        376
       271        952        290        448        873        178        424        935
        87        940        646        553        358        366        905        862
       825        319        298        391        818        381        258        408
       894        799        625        303        478        937         31        749
       889        673        197        114        851        974         50        290
       914         48        844        272        414        101        487        591
       420        785        335        238        518        945        999        764
        97        624        419        575        913        450        676        803
       123        225        269        327        551        671        969        817
       720        813        442        486        914        929        430        687
        66        117        277        585         62        276        349        511
       253        769         86        166        571        114        321         47
       340        943        374        243        614        343         61        686
       509        503        525        775        432        955        814        498
       424         92        435        838        368        137        350        973
       258        788        140        829        903        813        228        595
       756        954        838        723        650        251        409        159
       754        934        286        538        241        101        389         17
       193        824        856        913        313        206        887        571
       994        379        753        249        544        981        844        301
       288         35        376        938        286        785        449        393
        72        735        931        665        188        320        683        733
       497        539        999        810         97        238        734        443
       617        839        693        161        172        537        814        460
       924        190        398        563        328        199        956        400
       935        887        417        475        560        452        209        409
       343        208        571        440        446        305        884        415
       144        577        928        669        466        743        129        743
       933        880        306        613         79        262         13         14
       501        783        842         61        235         51        470        579
       611         42        371        409        699        607        824        196
       536        752        865          3        495        346         98        781
       226        404        394        306        666        760        672        519
       895        514        581        130        917        403         61        528
       797        785        937        849        392        113         45        929
       866        262        284        713        608        382        846        187
       138        241        493        804        353        517        323        248
       384        256        730        301        660        144        182        809
       929        471        658        673        585        703        602        451
       317        238        516        278        620        363        465        758
       604        310        914        309        827        590        909        563
       198        991        865        858        135        399         20        416
       870        678         90        455        734         44        258         51
       283        775        681        903        138        146         14         94
       808        928        403        988        870        312        551         69
       303        416        279        791        167        299        207         38
       978        297        493         64        342        752        467        977
       527        149        880         17        647        246        111        456
       527        514        444        397        178        995        818        833
       764         98        624        931        749        184        321         79
       833        815        143        527        919        611        504        798
       760        737        815        759        983        926        215        510
       792         11        260        322        359         78        155        123
       176        132        406        926        668        728          5        501
       895        501        381        814        112        885        964        224
       622        779        983        958         57        551        468        849
       562        728        523        921        159         30        396        335
       514        155        613        182        883        971         36        130
       472        417        944        936        302        908        512        277
        39        847        235         96        398         55 
Sorting:

Sorted:
        55         57         78         79         98        111        117        123
       132        143        149        155        176        178        184        208
       215        224        246        260        321        322        359        381
       397        406        444        456        501        501        504        510
       514        527        527        527        571        611        624        668
       669        728        737        749        759        760        764        775
       779        792        798        803        813        814        814        815
       815        817        818        833        833        838        847        849
       880        883        885        895        908        913        914        919
       921        926        926        929        931        936        943        944
       955        958        964        969        971        973        983        983
       995   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1625813011
-1541071910 -1541071910 -1357550910 -1357550910 -1355619262 -1355619262 -1346725710 -1346725710
-1345938988 -1345938988 -1323837443 -1323837443 -1262747217 -1262747217 -1003708927 -1003708927
-999883435 -999883435 -723158913 -723158913 -641105700 -490213275 -490213275         17
       123        130        137        155        159        166        182        225
       235        243        253        269        276        277        277        302
       321        327        335        340        343        349        350        368
       374        396        398        417        419        424        430        432
       435        442        450        468        472        486        498        503
       509        511        512        514        523        525        545        551
       551        562        571        575        585        613        614        622
       624        671        676        686        687        720        728        769
       123        130        137        155        159        166        182        225
       235        243        253        269        276        277        277        302
       321        327        335        340        343        349        350        368
       374        396        398        417        419        424        430        432
       435        442        450        468        472        486        498        503
       509        511        512        514        523        525        545        551
       551        562        571        575        585        613        614        622
       624        671        676        686        687        720        728        769
       123        130        137        155        159        166        182        225
       235        243        253        269        276        277        277        302
       321        327        335        340        343        349        350        368
       374        396        398        417        419        424        430        432
       435        442        450        468        472        486        498        503
       509        511        512        514        523        525        545        551
       551        562        571        575        585        613        614        622
       624        671        676        686        687        720        728        769
       123        130        137        155        159        166        182        225
       235        243        253        269        276        277        277        302
       321        327        335        340        343        349        350        368
       374        396        398        417        419        424        430        432
       435        442        450        468        472        486        498        503
       509        511        512        514        523        525        545        551
       551        562        571        575        585        613        614        622
       624        671        676        686        687        720        728        769
       123        130        137        155        159        166        182        225
       235        243        253        269        276        277        277        302
       321        327        335        340        343        349        350        368
       374        396        398        417        419        424        430        432
       435        442        450        468        472        486        498        503
       509        511        512        514        523        525        545        551
       551        562        571        575        585        613        614        622
       624        671        676        686        687        720        728        769
        55         57         78         79         98        111        117        123
       132        143        149        155        176        178        184        208
       215        224        246        260        321        322        359        381
       397        406        444        456        501        501        504        510
       514        527        527        527        571        611        624        668
       669        728        737        749        759        760        764        775
       779        792        798        803        813        814        814        815
       815        817        818        833        833        838        847        849
       880        883        885        895        908        913        914        919
       921        926        926        929        931        936        943        944
       955        958        964        969        971        973        983        983
       995   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 
