seed = 5321 sort algorithm = Quick Sort

Unsorted:
       514        192        296        176        937        431        923        214
        71        299        858        695        840        143        555         69
        69        842        226        290        554        806        145        943
       996        243        353        199         33        674        430        899
       218         78        427        155        862        350        722        933
       650        932        980        490         75        887        911        496
       729        489        138        284        296        636        579        292
       879        285        843        912        959        626        164        177
        56        591        684        918        942        406        203        944
       338        183        786        765         71        697        261        152
       187        752        788        483        388        368        127        619
       653        322        531        964        948         47        493          5
       639        177        275        933        936        479        877        626
        14        663        392        437        712          5        590        899
       757        378        734        145         98        213        764        103
       536        648        419        836        695        912        841        686
       442        469        619        378        948        848          4        962
       863        748        400        576        754        342        827        511
       720        914          9        171        479        125        274         15
       125        694        852        821        958         45        859        400
       514        831        130        814        679        135        777        895
       883        529        471        989        871        650        501        943
       916        862        114        396        987        741        763        113
       787        967        286        745         13        497        498        879
       328        628        694          8        115        823        255        351
       352        726        340        223        728        193        166        997
        55        633        393        395        374        156        508        161
       124        146        258        489        643        756        720        972
       385        766        332        852        589        587        203        293
       665        544        868        745         89        387        742        145
        20        135        892        746        644        752        907        768
       898        517        609        893        274        329        217         11
       448        549        863         37        488         67        683        505
       963        551        251         52        938        993        549        310
       481        793         56        125        545        315        245        443
       833        206        689        459        887        906        822        335
       456        685        373        296        104        408        802        419
       959         53        824        250        398        725        560        231
       519        617        708         64        284        305        860        117
       511        549        928        399        455        750        734        263
       436        459        912        892        867        714        664        179
       119        488        429        869        213        989        101         84
       958        809        149        243        115        361        712        978
       910        641        377        717        743        464        333        531
       923        245        424        143        311         88        322        782
       928        751        651        493         92        752        578        403
       914        727        646        381         88        710        711        350
       703        441        419        447        905        752        978        180
       349        754        323        660        194        997        442        122
       100         94        968        545        198        546        948        464
       625        946        197         65          8        909        415        712
       350        186        159        255        939        489        787        288
       244        463        301        790        460         95        265        913
       541        233        458         92        779        758        556        404
       704        754        821        712         15        236        776        365
       774        287        972        713        777        759        354        373
       222          7        515         35        102        780        300        644
        13        758        736        792        868        644        548        572
       398        369        636        413        957        413        130        732
        52        102        797        829        214        151        554        436
       510         70        823        613        202        123        257        216
       233        345        360        101        989        909         25        740
       630         14        505        940        779        636        672        831
        90        821         13        304        325        919         93        835
       341        916        448        544        392         57        760        977
       402        120         79        744        381        456        484         12
       470        341        304        249        329        976        433        420
       149        446        724        474        717        169        310         59
       438        110        603        830        520        363 
Sorting:

Sorted:
       135        138        145        146        156        169        176        296
       310        363        420        431        433        438        446        474
       514        520        555        603        695        717        724        830
       840        842        858        923        937        976        161 -1625813011
-1541071910 -1541071910 -1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217
-1262747217 -1003708927 -999883435 -999883435 -723158913 -641105700 -490213275          8
        11         20         55         75         89        110        115        124
       164        177        192        284        285        292        296        381
       892        892        893        893        898        898        907        907
       912        916        916        923        937        943        943        959
       972        972        976        977        977        996        996        997
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        392        402
       448        456        470        484        489        496        544        554
       579        626        636        729        744        760        806        840
       842        843        852        852        858        868        868        879
       892        892        893        893        898        898        907        907
       912        916        916        923        937        943        943        959
       972        972        976        977        977        996        996        997
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        392        402
       448        456        470        484        489        496        544        554
       579        626        636        729        744        760        806        840
       842        843        852        852        858        868        868        879
       166        193        203        217        223        255        258        274
       293        328        329        332        340        351        352        363
       374        385        387        393        395        489        508        517
       544        587        589        609        628        633        643        644
       665        694        694        695        717        720        720        724
       726        726        728        728        742        742        744        745
       745        746        746        752        752        756        756        760
       766        766        768        768        806        823        823        830
       892        892        893        893        898        898        907        907
       912        916        916        923        937        943        943        959
       972        972        976        977        977        996        996        997
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        392        402
       448        456        470        484        489        496        544        554
       579        626        636        729        744        760        806        840
       842        843        852        852        858        868        868        879
       892        892        893        893        898        898        907        907
       912        916        916        923        937        943        943        959
       972        972        976        977        977        996        996        997
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        392        402
       448        456        470        484        489        496        544        554
       579        626        636        729        744        760        806        840
       842        843        852        852        858        868        868        879
       135        138        145        146        156        169        176        296
       310        363        420        431        433        438        446        474
       514        520        555        603        695        717        724        830
       840        842        858        923        937        976        161 -1625813011
-1541071910 -1541071910 -1357550910 -1355619262 -1346725710 -1345938988 -1323837443 -1262747217
-1262747217 -1003708927 -999883435 -999883435 -723158913 -641105700 -490213275          8
        11         20         55         75         89        110        115        124
       164        177        192        284        285        292        296        381
       892        892        893        893        898        898        907        907
       912        916        916        923        937        943        943        959
       972        972        976        977        977        996        996        997
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324        392        402
       448        456        470        484        489        496        544        554
       579        626        636        729        744        760        806        840
       842        843        852        852        858        868        868        879
       892        892        893        893        898        898        907        907
       912        916        916        923        937        943        943        959
       972        972        976        977        977        996        996        997
       997   51893134   55375545  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 
